date_time,movie_id,box_office,attendees
2024-07-07,1274,0.28,87
2024-07-07,695,0.28,71
2024-07-07,348,0.28,87
2024-07-07,959,0.25,39
2024-07-07,282,0.22,90
2024-07-07,1340,0.22,71
2024-07-07,1355,0.19,80
2024-07-07,1228,0.18,52
2024-07-07,339,0.18,61
2024-07-07,1493,0.17,46
2024-07-07,452,0.15,38
2024-07-07,82,0.15,60
2024-07-07,1315,0.14,55
2024-07-07,828,0.13,35
2024-07-07,1159,0.12,34
2024-07-07,1098,0.11,33
2024-07-07,491,0.09,30
2024-07-07,1399,0.08,34
2024-07-07,789,0.07,23
2024-07-07,498,0.07,27
2024-07-07,932,0.06,17
2024-07-07,269,0.06,24
2024-07-07,680,0.05,25
2024-07-07,807,0.04,9
2024-07-07,1215,0.03,10
2024-07-07,1173,0.03,12
2024-07-07,326,0.02,6
2024-07-07,736,0.02,6
2024-07-07,1006,0.02,6
2024-07-07,503,0.01,6
2024-07-07,831,0.01,5
2024-07-07,1109,0.01,3
2024-07-07,974,0.01,105
2024-07-07,802,0.01,0
2024-07-07,1356,0.0,1
2024-07-07,1428,0.0,3
2024-07-07,1452,0.0,3
2024-07-07,493,0.0,54
2024-07-07,1236,0.0,1
2024-07-07,1238,0.0,1
2024-07-07,853,0.0,1
2024-07-07,274,0.0,2
2024-07-07,840,0.0,1
2024-07-07,434,0.0,0
2024-07-07,157,0.0,1
2024-07-07,88,0.0,1
2024-07-07,27,0.0,0
2024-07-07,1155,0.0,0
2024-07-07,91,0.0,0
2024-07-07,1105,0.0,0
2024-07-07,509,0.0,0
2024-07-07,668,0.0,0
2024-07-07,1368,0.0,0
2024-07-07,238,0.0,0
2024-07-07,1362,0.0,0
2024-07-07,374,0.0,0
2024-07-07,403,0.0,0
2024-07-07,1253,0.0,0
2024-07-07,786,0.0,0
2024-07-07,1347,0.0,0
2024-07-07,760,0.0,0
2024-07-07,1389,0.0,0
2024-07-07,1041,0.0,0
2024-07-07,201,0.0,0
2024-07-07,1043,0.0,0
2024-07-07,915,0.0,0
2024-07-07,118,0.0,0
2024-07-07,1243,0.0,0
2024-07-07,961,0.0,0
2024-07-07,1495,0.0,0
2024-07-07,704,0.0,0
2024-07-07,177,0.0,0
2024-07-07,100,0.0,0
2024-07-07,1421,0.0,0
2024-07-07,806,0.0,0
2024-07-07,55,0.0,0
2024-07-07,859,0.0,0
